上海市 shanghai
云南省 yunnan
内蒙古自治区 neimenggu
北京市 beijing
台湾省 taiwan
吉林省 jilin
四川省 sichuan
天津市 tianjin
宁夏回族自治区 ningxia
安徽省 anhui
山东省 shandong
山西省 shanxi
广东省 guangdong
广西壮族自治区 guangxi
新疆维吾尔自治区 xinjiang
江苏省 jiangsu
江西省 jiangxi
河北省 hebei
河南省 henan
浙江省 zhejiang
海南省 hainan
湖北省 hubei
湖南省 hunan
澳门特别行政区 aomen
甘肃省 gansu
福建省 fujian
西藏自治区 xizang
贵州省 guizhou
辽宁省 liaoning
重庆市 chongqing
陕西省 shan_xi
青海省 qinghai
香港特别行政区 xianggang
黑龙江省 heilongjiang
